Siruta,Carne,Peste,LegumeFructe,Uleiuri,Lactate,Morarit,Panificatie
32768,,,,,,,
49153,,,,,,,
57350,0.0,0.0,0.0,0.0,100.0,0.0,0.0
90119,,,,,,,
73736,0.0,0.0,100.0,0.0,0.0,0.0,0.0
147465,0.0,0.0,0.0,0.0,0.0,0.0,100.0
155662,,,,,,,
139287,,,,,,,
114710,3.7267080745341614,0.0,0.0,0.0,0.9316770186335404,0.0,95.3416149068323
122908,0.0,0.0,0.0,0.0,0.0,0.0,100.0
131103,0.0,0.0,0.0,0.0,0.0,0.0,100.0
40991,,,,,,,
98337,,,,,,,
8229,,,,,,,
16427,,,,,,,
32811,,,,,,,
73772,,,,,,,
172082,0.0,0.0,0.0,0.0,0.0,0.0,100.0
49206,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24631,,,,,,,
163903,,,,,,,
106559,28.143712574850298,0.0,0.0,0.0,5.9880239520958085,0.0,65.86826347305389
139330,30.0,0.0,0.0,0.0,0.0,0.0,70.0
81987,,,,,,,
98373,0.0,0.0,0.0,0.0,0.0,0.0,100.0
147526,0.0,0.0,0.0,0.0,0.0,3.669724770642202,96.3302752293578
16454,0.0,0.0,0.0,0.0,0.0,100.0,0.0
65609,7.142857142857143,0.0,0.0,0.0,0.0,0.0,92.85714285714286
122953,,,,,,,
41033,0.0,0.0,0.0,0.0,0.0,0.0,100.0
155724,,,,,,,
49233,,,,,,,
16472,0.0,0.0,0.0,0.0,0.0,0.0,100.0
139358,99.96468926553672,0.0,0.0,0.0,0.0,0.0,0.03531073446327684
90208,100.0,0.0,0.0,0.0,0.0,0.0,0.0
57449,,,,,,,
65645,,,,,,,
155760,0.0,0.0,0.0,0.0,0.0,54.285714285714285,45.714285714285715
32884,100.0,0.0,0.0,0.0,0.0,0.0,0.0
114809,45.22821576763486,0.0,0.2074688796680498,0.0,0.0,0.0,54.56431535269709
16506,0.0,0.0,0.0,0.0,0.0,0.0,100.0
172153,,,,,,,
73852,0.0,0.0,0.0,0.0,0.0,0.0,100.0
106620,0.0,0.0,0.0,0.0,0.0,0.0,100.0
163967,,,,,,,
82047,,,,,,,
147580,,,,,,,
41088,0.0,0.0,0.0,0.0,0.0,81.25,18.75
139394,,,,,,,
98435,0.0,0.0,0.0,0.0,0.0,0.0,100.0
123013,,,,,,,
24711,,,,,,,
131210,0.0,0.0,0.0,0.0,0.0,0.0,100.0
65681,0.0,0.0,3.2,0.0,0.0,0.0,96.8
90262,,,,,,,
155797,0.0,0.0,0.0,0.0,0.0,100.0,0.0
41113,0.0,0.0,100.0,0.0,0.0,0.0,0.0
106648,,,,,,,
49313,,,,,,,
8354,,,,,,,
16551,0.0,0.0,0.0,0.0,0.0,0.0,100.0
114854,0.0,0.0,3.125,0.0,0.0,0.0,96.875
65707,,,,,,,
73905,,,,,,,
147633,,,,,,,
131256,51.03305785123967,0.0,0.0,0.0,0.0,4.338842975206612,44.62809917355372
32955,,,,,,,
106684,82.88621646623497,0.0,0.0,0.0,0.0,0.0,17.113783533765034
24766,100.0,0.0,0.0,0.0,0.0,0.0,0.0
73923,0.0,0.0,0.0,0.0,0.0,76.92307692307692,23.076923076923077
155840,0.0,0.0,0.0,0.0,0.0,0.0,100.0
98505,0.0,0.0,0.0,0.0,0.0,100.0,0.0
131274,,,,,,,
57546,0.0,0.0,0.0,0.0,0.0,0.0,100.0
147660,0.0,0.0,0.0,0.0,78.57142857142857,0.0,21.428571428571427
41177,0.0,0.0,0.0,0.0,0.0,0.0,100.0
65752,,,,,,,
82136,100.0,0.0,0.0,0.0,0.0,0.0,0.0
164062,,,,,,,
123102,50.0,0.0,50.0,0.0,0.0,0.0,0.0
16613,,,,,,,
90342,,,,,,,
8425,0.0,0.0,0.0,0.0,0.0,0.0,100.0
114925,2.857142857142857,0.0,0.0,0.0,0.0,0.0,97.14285714285714
57582,0.0,0.0,0.0,0.0,94.11764705882354,0.0,5.882352941176471
172279,,,,,,,
33015,,,,,,,
106746,73.45971563981043,0.0,0.0,0.0,1.4218009478672986,0.0,25.118483412322274
147713,,,,,,,
24837,,,,,,,
155911,0.0,0.0,0.0,0.0,0.0,0.0,100.0
131336,0.0,0.0,0.0,0.0,0.0,0.0,100.0
73996,0.0,0.0,0.0,0.0,0.0,0.0,100.0
16659,,,,,,,
114970,,,,,,,
49439,0.0,0.0,0.0,0.0,0.0,100.0,0.0
106782,0.0,0.0,0.0,0.0,0.0,0.0,100.0
41248,,,,,,,
123175,,,,,,,
164133,0.0,0.0,0.0,0.0,0.0,0.0,100.0
98603,,,,,,,
57644,,,,,,,
74028,,,,,,,
65841,0.0,0.0,0.0,0.0,3.0303030303030303,9.090909090909092,87.87878787878788
172340,0.0,0.0,0.0,0.0,0.0,94.44444444444444,5.555555555555555
155957,,,,,,,
90431,,,,,,,
106817,0.0,0.0,3.225806451612903,0.0,3.225806451612903,0.0,93.54838709677419
82243,0.0,0.0,0.0,0.0,0.0,0.0,100.0
41284,0.0,0.0,0.0,0.0,100.0,0.0,0.0
147786,0.0,0.0,0.0,0.0,0.0,100.0,0.0
49484,,,,,,,
65869,,,,,,,
131407,97.1576227390181,0.0,0.0,0.0,0.0,0.0,2.842377260981912
74073,,,,,,,
98649,,,,,,,
172377,,,,,,,
123228,,,,,,,
33122,,,,,,,
16739,,,,,,,
164197,,,,,,,
57706,80.75117370892019,0.0,0.0,0.0,0.9389671361502347,0.0,18.309859154929576
131443,0.0,0.0,0.0,0.0,0.0,0.0,100.0
16757,,,,,,,
123255,,,,,,,
98685,0.0,0.0,9.090909090909092,0.0,0.0,90.9090909090909,0.0
74108,,,,,,,
65921,8.24742268041237,0.0,0.0,0.0,0.0,0.0,91.75257731958763
156035,,,,,,,
41346,,,,,,,
115076,,,,,,,
131461,,,,,,,
49545,0.0,0.0,0.0,0.0,100.0,0.0,0.0
82314,,,,,,,
57742,0.0,0.0,0.0,0.0,0.0,0.0,100.0
74135,,,,,,,
33177,,,,,,,
41382,0.0,0.0,0.0,0.0,0.0,0.0,100.0
24999,0.0,0.0,0.0,0.0,0.0,100.0,0.0
90538,0.0,0.0,0.0,0.0,0.0,0.0,100.0
172457,0.0,0.0,0.0,0.0,0.0,0.0,100.0
147884,,,,,,,
33202,0.0,0.0,0.0,0.0,0.0,0.0,100.0
98738,,,,,,,
164277,,,,,,,
74171,,,,,,,
139704,3.658536585365854,0.0,8.94308943089431,0.0,6.9105691056910565,0.4065040650406504,80.08130081300813
156106,0.0,0.0,0.0,0.0,0.0,0.0,100.0
41417,0.0,0.0,0.0,0.0,0.0,0.0,100.0
115147,0.0,0.0,0.0,0.0,0.0,0.0,100.0
131540,85.96491228070175,0.0,0.0,0.0,0.0,0.0,14.035087719298245
98774,0.0,0.0,0.0,0.0,0.0,0.0,100.0
